code,iso,Rank,country,region,total,CDI-Rank,CDI,A-Rank,A,B-Rnk,B,C-Rank,C,D-Rank,D,E-Rank,E,F-Rank,F,G-Rank,G
300,GRC,25,Greece,Europe and Central Asia,55.46,23,59.39,58,41.23,55,52.21,18,65.14,36,59.83,48,58.58,27,53.7,33,58.69
76,BRA,26,Brazil,Latin America and The Caribbean,54.56,26,56.58,40,43.95,9,55.97,24,55.83,9,67.36,27,62.92,76,36.76,41,57.69
705,SVN,27,Slovenia,Europe and Central Asia,54.48,25,56.84,31,45.74,49,52.75,32,43.58,20,63.82,26,63.38,32,50.67,14,63.22
203,CZE,28,Czech Republic,Europe and Central Asia,54.09,28,56.44,30,45.93,64,51.8,27,50.05,31,60.34,41,60.28,29,52.83,32,58.77
620,PRT,29,Portugal,Europe and Central Asia,54.04,29,56.26,25,47.2,73,51.08,33,43.23,72,55.14,30,62.55,15,62.05,28,59.88
616,POL,30,Poland,Europe and Central Asia,53.61,30,55.3,37,44.95,20,54.62,20,60.47,46,58.42,31,61.8,54,42.96,97,50.37
152,CHL,31,Chile,Latin America and The Caribbean,53.05,31,53.93,34,45.29,4,56.61,28,47.33,62,56.8,32,61.78,53,43,26,60.13
470,MLT,32,Malta,Middle East and North Africa,52.01,34,52.85,27,46.92,42,53.26,34,41.23,85,52.64,33,61.74,34,50.11,31,59.13
643,RUS,33,Russia,Europe and Central Asia,51.75,32,53.52,44,43.2,53,52.3,30,44.48,103,48.62,22,64.78,31,51.49,36,58.51
428,LVA,34,Latvia,Europe and Central Asia,51.65,33,53.07,33,45.37,69,51.52,38,38.03,53,57.7,42,59.82,26,54.21,46,56.75
376,ISR,35,Israel,Middle East and North Africa,51.33,37,52.26,32,45.51,47,52.87,35,40.81,58,57.5,29,62.56,43,46.09,57,54.11
440,LTU,36,Lithuania,Europe and Central Asia,51.16,36,52.3,24,47.27,88,50.02,43,34.31,24,62.64,47,58.77,30,51.73,51,55.13
196,CYP,37,Cyprus,Europe and Central Asia,50.92,38,51.68,39,44.36,36,53.86,67,30.08,18,64.09,37,60.96,56,42.72,20,61.48
233,EST,38,Estonia,Europe and Central Asia,50.88,40,51.41,19,48.78,81,50.64,40,36.5,79,54.03,34,61.71,33,50.4,52,55.12
348,HUN,39,Hungary,Europe and Central Asia,50.65,35,52.37,50,42.56,75,50.99,45,33.46,37,59.77,35,61.52,39,47.29,23,60.85
764,THA,40,Thailand,East Asia and Pacific,50.61,39,51.56,53,42.15,23,54.57,42,35.38,21,63.76,73,53.58,17,60.99,130,45.56
188,CRI,41,Costa Rica,Latin America and The Caribbean,50.4,43,50.85,41,43.68,17,54.81,62,30.71,47,58.41,38,60.7,58,42.38,15,63.1
703,SVK,42,Slovakia,Europe and Central Asia,50.3,41,50.98,43,43.52,37,53.76,44,33.94,56,57.59,61,55.61,38,47.37,19,61.94
170,COL,43,Colombia,Latin America and The Caribbean,49.87,44,50.6,55,41.58,25,54.56,36,40.24,23,62.81,81,52.45,42,46.32,87,51.39
458,MYS,44,Malaysia,East Asia and Pacific,49.68,47,49.03,23,47.43,26,54.51,113,22.34,40,59.39,76,53.02,13,64.38,103,49.35
