code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
634,QAT,Qatar,Middle East and North Africa,44.17,96.12,88.47,94.5,68.36,38.38,45.39,83.46,49.54,26.52,9.96,20,54.6,50.39,63.47,31.2,73.94,46.02,22.99,50.28
64,BTN,Bhutan,South Asia,46.76,74.34,87.07,71.03,63.14,53.41,73.74,86.09,53.06,8.37,28.71,39.74,87.91,64.99,24.18,39.92,71.06,49.47,35.6,53.94
642,ROU,Romania,Europe and Central Asia,47.93,91.15,84.86,47.25,55.3,51.77,42.48,89.57,61.55,38.95,14,60.16,71.98,34.76,60.39,32.76,64.91,54.14,31.46,51.64
643,RUS,Russia,Europe and Central Asia,51.75,94.98,80.74,46.09,37.91,53.08,45.23,88.41,62.38,50.39,22.79,64.03,62.87,42.81,56.26,38.28,62.95,58.26,32.14,52.3
646,RWA,Rwanda,Sub-Saharan Arica,44.61,67.68,58.34,89.63,37.75,53.4,85.6,80.99,43.23,28.24,29.04,50.55,64.12,9.02,30.33,34.16,65.14,48.96,23.35,47.75
68,BOL,Bolivia,Latin America and The Caribbean,43.74,69.22,86.05,69.99,53.3,53.77,56.13,80.52,45.14,40.85,40.21,66.68,59.11,39.2,28.37,38.26,66.08,54.38,31.37,52.16
682,SAU,Saudi Arabia,Middle East and North Africa,44.43,96.06,95.49,89.49,44.97,53.67,37.82,95.37,50.88,29.07,13.55,30.96,87.32,66.68,47.47,35.54,73.04,51.53,33.99,54.87
686,SEN,Senegal,Sub-Saharan Arica,37.9,53.16,77.96,90.98,44.64,36.48,78.92,89.9,55,25.46,18.71,51.2,64.46,24.1,30.51,37.8,63.29,51.52,26.32,48.67
688,SRB,Serbia,Europe and Central Asia,46.75,95.71,78.44,35.76,69.14,50.95,42.43,92.39,51.44,40.81,4.31,52.48,69.78,33.08,50.75,32.18,64.49,50.34,29.17,49.65
690,SYC,Seychelles,Sub-Saharan Arica,40.52,80.04,72.11,66.6,61.33,52.51,45.56,49.9,52.48,39.36,47.64,59.2,76.7,42.77,51.67,23.36,64.54,48.12,33.56,50.32
694,SLE,Sierra Leone,Sub-Saharan Arica,37.3,10.01,38.59,88.93,28.63,41.97,86.23,86.73,26.47,15.94,25.85,53.77,43.95,18.16,26.59,28.3,46.13,43.68,22.16,38.2
702,SGP,Singapore,East Asia and Pacific,55.71,99.77,94.43,82.22,74.99,61.98,24.65,92.73,27.9,68.39,22.35,47.51,66.43,36.53,78.63,27.38,76.23,54.14,28.19,55.19
703,SVK,Slovakia,Europe and Central Asia,50.3,93.77,86.91,61.35,68.14,58.4,25.82,94.09,58.12,53.27,7,58.35,78.02,34.24,66.86,35.98,68.81,55.39,32.05,53.76
704,VNM,Viet Nam,East Asia and Pacific,45.61,83.39,75.61,65.8,33.41,52.41,66.95,81.08,32.74,46.96,36.63,61.85,50.3,33.28,28.49,23.04,64.79,51.63,27.73,49.72
705,SVN,Slovenia,Europe and Central Asia,54.48,99.81,80.54,47.8,71.75,59.89,24.58,88.96,52.01,67.93,6.72,51.59,80.1,36.64,68.7,38.16,67.25,54.72,31.45,52.75
